host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na,index
t,moderate,f,2.0,South of Market,37.77818,-122.41444,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,Real Bed,1.0,14.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f,strict_14_with_grace_period,t,6.0,Western Addition,37.77905,-122.43992,House,Private room,6.0,1.0,2.0,3.0,Real Bed,1.0,36.0,93.0,9.0,10.0,10.0,10.0,9.0,8.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
t,strict_14_with_grace_period,f,2.0,West of Twin Peaks,37.73313,-122.46054,House,Private room,4.0,1.0,2.0,3.0,Real Bed,3.0,207.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
f,flexible,t,14.0,Western Addition,37.78172,-122.43861,House,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
f,strict_14_with_grace_period,f,44.0,Mission,37.75825,-122.41512,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,156.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
f,strict_14_with_grace_period,t,1.0,Inner Sunset,37.7491,-122.46782,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,1.0,29.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
t,moderate,f,2.0,Castro/Upper Market,37.76925,-122.43077,Apartment,Entire home/apt,5.0,1.0,2.0,2.0,Real Bed,3.0,17.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
f,super_strict_60,f,16.0,Financial District,37.78931,-122.40231,Serviced apartment,Entire home/apt,6.0,2.5,2.0,3.0,Real Bed,1.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
t,moderate,t,2.0,Castro/Upper Market,37.76077,-122.43786,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,30.0,10.0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
f,moderate,t,1.0,Outer Sunset,37.75359,-122.48137,Apartment,Entire home/apt,4.0,1.0,2.0,3.0,Real Bed,4.0,38.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
f,strict_14_with_grace_period,f,1.0,Crocker Amazon,37.70866,-122.43679,House,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
f,strict_14_with_grace_period,t,3.0,Outer Sunset,37.74959,-122.47686,House,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
t,moderate,f,1.0,Potrero Hill,37.75637,-122.4023,Guesthouse,Entire home/apt,4.0,1.0,1.0,1.0,Real Bed,30.0,40.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
f,strict_14_with_grace_period,f,87.0,Mission,37.75395,-122.42437,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,30.0,2.0,70.0,10.0,9.0,10.0,9.0,10.0,9.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
t,moderate,t,1.0,Western Addition,37.77225,-122.43386,Condominium,Private room,2.0,1.0,1.0,1.0,Real Bed,3.0,85.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
f,strict_14_with_grace_period,t,165.0,South of Market,37.77741,-122.41374,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,147.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15
f,strict_14_with_grace_period,f,21.0,Western Addition,37.77385,-122.4238,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,30.0,15.0,81.0,8.0,9.0,9.0,10.0,9.0,9.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
f,strict_14_with_grace_period,f,1.0,Ocean View,37.71742,-122.46542,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,30.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
f,strict_14_with_grace_period,t,1.0,Pacific Heights,37.7909,-122.43397,Condominium,Entire home/apt,4.0,2.0,2.0,2.0,Real Bed,2.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
f,moderate,f,1.0,Diamond Heights,37.74608,-122.4444,House,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,19.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
f,strict_14_with_grace_period,t,165.0,South of Market,37.77491,-122.39067,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,177.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20
t,moderate,f,2.0,Potrero Hill,37.76196,-122.39411,Guest suite,Entire home/apt,2.0,1.0,1.0,0.0,Real Bed,4.0,111.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
f,strict_14_with_grace_period,t,165.0,South of Market,37.77372,-122.39151,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,177.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
f,flexible,f,44.0,Bernal Heights,37.73767,-122.41144,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
